Date,Client,Reportee,Alert Name,Summary,Resolution / Action Item,Tracker,Updates / Remark
10/4/2026,HDFC,Bhavana.hm,HDFC-Prod-RDS-High-DB-Connections - P2-Alert,- SQL Query running with Resource utilsation,"- Updated the Query as per the requirements 
",RCA - https://mintoak.atlassian.net/wiki/x/IwBycQ,
11/4/2026,HDFC,Bhavana.hm,"HDFC-Prod-ALB - HTTP 5XX Error Count Crossed 200 - P1-Alert"" in Asia Pacific (Mumbai)",- Settlement PODs were stuck in restart,- Changed Min - Max count for settlement pods deployment,RCA - https://mintoak.atlassian.net/wiki/x/IwBycQ,
15/4/2026,HDFC,Bhavana.hm,HDFC-Prod-ALB - HTTP 5XX Error Count Crossed 200 - P1-Alert,- Postgres DB Upgrade Activity caused an issue with the RDS ,"- Case raised with AWS Support team
",,
15/4/2026,HDFC,Deva.kumar,Settlement Pods Memory Alert Threshold recheck,"- Mean memory consumption is typically 1.5–1.8GB, reaching 2.5–3.5GB during cron jobs. 
- With the recent increase to 10 pods, the current low alert threshold is causing excessive noise. 
- need to update threshold value to mitigate these unnecessary alerts.","- Case raissed with DevOps Team to update the Alert threshold
- Need to test in Lower environments (UAT/Pre-Prod)",HDFCMIN-2230: PROD || Threshold Adjustment Needed for Settlement Service,
16/4/2026,HDFC,Bhavana.hm,HDFC-Prod-ALB - HTTP 5XX Error Count Crossed 200 - P1-Alert,"- alert is linked to high CPU utilization in MMP and settlement services. 
- HPA was triggered, scalling the affected pods. ","- DevOps team to discuss the recent traffic surge, associated changes, or deployments to analyze the situation, identify contributing factors, and prevent future incidents.
- Alert config needs to be rechecked as the mentioned Pods were scalled not restarted",SRE-26: HDFC | Pods Restart alert config recheck,
17/4/2026,HDFC,Deva.kumar,Datapurge Service Memory Surge Issue,"- Memory spike even after successfull cron job run.

- As a workaround restarted the pods to relase the memory","
- Escalated to DevOps Team for resolution
- Restarted the Pods to release the memory
- More analysis needed on Node level logs and Resource Usage metrics
- Created a ticket internally for SRE team to review the logs for any discripancies observed at the Node level. 
- Need debugging from Devs","- https://mintoak.atlassian.net/browse/HBSH-28837
- https://mintoak.atlassian.net/browse/SRE-27",
18/4/2026,HDFC,Bhavana.hm,Production-Transaction-Details-DMS-Task-CDC-Destination-Latency,"- alert triggered around 11:58 AM from 
- Sudden spike observed at around 2:26 pm
- Escalated at 6:20 PM  to DevOps team 
- alert was resolved around 7:12 pm count was 21k around and re-triggered  at the same time with 14k CDC count",,,
20/4/2026,HDFC,Abhirup.saha,HDFC-Prod-ALB - HTTP 5XX Error Count Crossed 200 - P1-Alert,"503 alert for ""clickhouse.clickhouse.pname-http""
","- Alert is escalated to DevOps for the resolution 
",,
25/4/2026,SBI,Abhirup.saha,SBI | Missing 'upiDetails' parameter in POS callback requests from Hitachi for BharatQR payments,"Issue: Missing 'upiDetails' parameter in POS callback requests from Hitachi for BharatQR payments after 2026-04-23 23:57:20.450.

Details:

*   The 'upiDetails' parameter, which was previously included, is now absent in the callback requests received from Hitachi after the specified date and time.
*   According to the API documentation, the 'upiDetails' parameter is mandatory for both RailwayQR and BharatQR payment transactions.","Action Request:
*   Contact Hitachi to resolve.
*   Provide DB dump for affected transactions for consistency.
*   Hitachi requests support: UPI transactions not visible in YMA for TPOS MIDs. Query about YMA changes.",https://mintoak.atlassian.net/browse/SYR-2526?,
27/4/2026,HDFC,Deva.kumar,Settlement service HPA trigger,"Two NATS events were re-pushed simultaneously in peak hours leading to observations of the database load and Horizontal Pod Autoscaler (HPA) triggering. This suggests a potential issue or increased workload when handling duplicate or reprocessed events.
",,,
